TIME,GEO,UNIT,ICHA11_HC,Value,Flag and Footnotes
2006,Bulgaria,Million euro,Home-based long-term care (health),:,
2006,Bulgaria,Million euro,Ancillary services (non-specified by function),:,
2006,Bulgaria,Million euro,Laboratory services,:,
2006,Bulgaria,Million euro,Imaging services,:,
2006,Bulgaria,Million euro,Patient transportation,:,
2006,Bulgaria,Million euro,Medical goods (non-specified by function),:,
2006,Bulgaria,Million euro,Pharmaceuticals and other medical non-durable goods,:,
2006,Bulgaria,Million euro,Prescribed medicines,:,
2006,Bulgaria,Million euro,Over-the-counter medicines,:,
2006,Bulgaria,Million euro,Other medical non-durable goods,:,
2006,Bulgaria,Million euro,Therapeutic appliances and other medical durable goods,:,
2006,Bulgaria,Million euro,Preventive care,:,
2006,Bulgaria,Million euro,"Information, education and counseling programmes",:,
2006,Bulgaria,Million euro,Immunisation programmes,:,
2006,Bulgaria,Million euro,Early disease detection programmes,:,
2006,Bulgaria,Million euro,Healthy condition monitoring programmes,:,
2006,Bulgaria,Million euro,Epidemiological surveillance and risk and disease control programmes,:,
2006,Bulgaria,Million euro,Preparing for disaster and emergency response programmes,:,
2006,Bulgaria,Million euro,Governance and health system and financing administration,:,
2006,Bulgaria,Million euro,Governance and health system administration,:,
2006,Bulgaria,Million euro,Administration of health financing,:,
2006,Bulgaria,Million euro,Other health care services unknown,:,
2006,Bulgaria,Million euro,Long-term care (social),:,
2006,Bulgaria,Million euro,Long-term care (HC.3 and HCR.1),:,
2006,Czech Republic,Million euro,Current health care expenditure (CHE),:,
2006,Czech Republic,Million euro,Curative care and rehabilitative care,:,
2006,Czech Republic,Million euro,Curative care,:,
2006,Czech Republic,Million euro,Inpatient curative and rehabilitative care,:,
2006,Czech Republic,Million euro,Inpatient curative care,:,
2006,Czech Republic,Million euro,Day curative and rehabilitative care,:,
2006,Czech Republic,Million euro,Day curative care,:,
2006,Czech Republic,Million euro,Outpatient curative and rehabilitative care,:,
2006,Czech Republic,Million euro,Outpatient curative care,:,
2006,Czech Republic,Million euro,General outpatient curative care,:,
2006,Czech Republic,Million euro,Dental outpatient curative care,:,
2006,Czech Republic,Million euro,Specialised outpatient curative care,:,
2006,Czech Republic,Million euro,All other outpatient curative care n.e.c.,:,
2006,Czech Republic,Million euro,Home-based curative and rehabilitative care,:,
2006,Czech Republic,Million euro,Home-based curative care,:,
2006,Czech Republic,Million euro,Rehabilitative care,:,
2006,Czech Republic,Million euro,Inpatient rehabilitative care,:,
2006,Czech Republic,Million euro,Day rehabilitative care,:,
2006,Czech Republic,Million euro,Outpatient rehabilitative care,:,
2006,Czech Republic,Million euro,Home-based rehabilitative care,:,
2006,Czech Republic,Million euro,Long-term care (health),:,
2006,Czech Republic,Million euro,Inpatient long-term care (health),:,
2006,Czech Republic,Million euro,Day long-term care (health),:,
2006,Czech Republic,Million euro,Outpatient long-term care (health),:,
2006,Czech Republic,Million euro,Home-based long-term care (health),:,
2006,Czech Republic,Million euro,Ancillary services (non-specified by function),:,
2006,Czech Republic,Million euro,Laboratory services,:,
2006,Czech Republic,Million euro,Imaging services,:,
2006,Czech Republic,Million euro,Patient transportation,:,
2006,Czech Republic,Million euro,Medical goods (non-specified by function),:,
2006,Czech Republic,Million euro,Pharmaceuticals and other medical non-durable goods,:,
2006,Czech Republic,Million euro,Prescribed medicines,:,
2006,Czech Republic,Million euro,Over-the-counter medicines,:,
2006,Czech Republic,Million euro,Other medical non-durable goods,:,
2006,Czech Republic,Million euro,Therapeutic appliances and other medical durable goods,:,
2006,Czech Republic,Million euro,Preventive care,:,
2006,Czech Republic,Million euro,"Information, education and counseling programmes",:,
2006,Czech Republic,Million euro,Immunisation programmes,:,
2006,Czech Republic,Million euro,Early disease detection programmes,:,
2006,Czech Republic,Million euro,Healthy condition monitoring programmes,:,
2006,Czech Republic,Million euro,Epidemiological surveillance and risk and disease control programmes,:,
2006,Czech Republic,Million euro,Preparing for disaster and emergency response programmes,:,
2006,Czech Republic,Million euro,Governance and health system and financing administration,:,
2006,Czech Republic,Million euro,Governance and health system administration,:,
2006,Czech Republic,Million euro,Administration of health financing,:,
2006,Czech Republic,Million euro,Other health care services unknown,:,
2006,Czech Republic,Million euro,Long-term care (social),:,
2006,Czech Republic,Million euro,Long-term care (HC.3 and HCR.1),:,
2006,Denmark,Million euro,Current health care expenditure (CHE),:,
2006,Denmark,Million euro,Curative care and rehabilitative care,:,
2006,Denmark,Million euro,Curative care,:,
2006,Denmark,Million euro,Inpatient curative and rehabilitative care,:,
2006,Denmark,Million euro,Inpatient curative care,:,
2006,Denmark,Million euro,Day curative and rehabilitative care,:,
2006,Denmark,Million euro,Day curative care,:,
2006,Denmark,Million euro,Outpatient curative and rehabilitative care,:,
2006,Denmark,Million euro,Outpatient curative care,:,
2006,Denmark,Million euro,General outpatient curative care,:,
2006,Denmark,Million euro,Dental outpatient curative care,:,
2006,Denmark,Million euro,Specialised outpatient curative care,:,
2006,Denmark,Million euro,All other outpatient curative care n.e.c.,:,
2006,Denmark,Million euro,Home-based curative and rehabilitative care,:,
2006,Denmark,Million euro,Home-based curative care,:,
2006,Denmark,Million euro,Rehabilitative care,:,
2006,Denmark,Million euro,Inpatient rehabilitative care,:,
2006,Denmark,Million euro,Day rehabilitative care,:,
2006,Denmark,Million euro,Outpatient rehabilitative care,:,
2006,Denmark,Million euro,Home-based rehabilitative care,:,
2006,Denmark,Million euro,Long-term care (health),:,
2006,Denmark,Million euro,Inpatient long-term care (health),:,
2006,Denmark,Million euro,Day long-term care (health),:,
2006,Denmark,Million euro,Outpatient long-term care (health),:,
2006,Denmark,Million euro,Home-based long-term care (health),:,
2006,Denmark,Million euro,Ancillary services (non-specified by function),:,
2006,Denmark,Million euro,Laboratory services,:,
2006,Denmark,Million euro,Imaging services,:,
2006,Denmark,Million euro,Patient transportation,:,
2006,Denmark,Million euro,Medical goods (non-specified by function),:,
2006,Denmark,Million euro,Pharmaceuticals and other medical non-durable goods,:,
2006,Denmark,Million euro,Prescribed medicines,:,
2006,Denmark,Million euro,Over-the-counter medicines,:,
2006,Denmark,Million euro,Other medical non-durable goods,:,
2006,Denmark,Million euro,Therapeutic appliances and other medical durable goods,:,
2006,Denmark,Million euro,Preventive care,:,
2006,Denmark,Million euro,"Information, education and counseling programmes",:,
2006,Denmark,Million euro,Immunisation programmes,:,
2006,Denmark,Million euro,Early disease detection programmes,:,
2006,Denmark,Million euro,Healthy condition monitoring programmes,:,
2006,Denmark,Million euro,Epidemiological surveillance and risk and disease control programmes,:,
2006,Denmark,Million euro,Preparing for disaster and emergency response programmes,:,
2006,Denmark,Million euro,Governance and health system and financing administration,:,
2006,Denmark,Million euro,Governance and health system administration,:,
2006,Denmark,Million euro,Administration of health financing,:,
2006,Denmark,Million euro,Other health care services unknown,:,
2006,Denmark,Million euro,Long-term care (social),:,
2006,Denmark,Million euro,Long-term care (HC.3 and HCR.1),:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Current health care expenditure (CHE),"241,647",
2006,Germany (until 1990 former territory of the FRG),Million euro,Curative care and rehabilitative care,"127,905",
2006,Germany (until 1990 former territory of the FRG),Million euro,Curative care,"120,125",
2006,Germany (until 1990 former territory of the FRG),Million euro,Inpatient curative and rehabilitative care,"67,223",
2006,Germany (until 1990 former territory of the FRG),Million euro,Inpatient curative care,"60,261",
2006,Germany (until 1990 former territory of the FRG),Million euro,Day curative and rehabilitative care,"2,231",
2006,Germany (until 1990 former territory of the FRG),Million euro,Day curative care,"2,231",
2006,Germany (until 1990 former territory of the FRG),Million euro,Outpatient curative and rehabilitative care,"54,660",
2006,Germany (until 1990 former territory of the FRG),Million euro,Outpatient curative care,"53,842",
2006,Germany (until 1990 former territory of the FRG),Million euro,General outpatient curative care,"13,649",
2006,Germany (until 1990 former territory of the FRG),Million euro,Dental outpatient curative care,"18,743",
2006,Germany (until 1990 former territory of the FRG),Million euro,Specialised outpatient curative care,"14,063",
2006,Germany (until 1990 former territory of the FRG),Million euro,All other outpatient curative care n.e.c.,"7,387",
2006,Germany (until 1990 former territory of the FRG),Million euro,Home-based curative and rehabilitative care,"3,791",
2006,Germany (until 1990 former territory of the FRG),Million euro,Home-based curative care,"3,791",
2006,Germany (until 1990 former territory of the FRG),Million euro,Rehabilitative care,"7,780",
2006,Germany (until 1990 former territory of the FRG),Million euro,Inpatient rehabilitative care,"6,962",
2006,Germany (until 1990 former territory of the FRG),Million euro,Day rehabilitative care,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Outpatient rehabilitative care,818,
2006,Germany (until 1990 former territory of the FRG),Million euro,Home-based rehabilitative care,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Long-term care (health),"32,609",
2006,Germany (until 1990 former territory of the FRG),Million euro,Inpatient long-term care (health),"21,692",
2006,Germany (until 1990 former territory of the FRG),Million euro,Day long-term care (health),108,
2006,Germany (until 1990 former territory of the FRG),Million euro,Outpatient long-term care (health),:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Home-based long-term care (health),"10,808",
2006,Germany (until 1990 former territory of the FRG),Million euro,Ancillary services (non-specified by function),"10,832",
2006,Germany (until 1990 former territory of the FRG),Million euro,Laboratory services,"3,441",
2006,Germany (until 1990 former territory of the FRG),Million euro,Imaging services,"3,907",
2006,Germany (until 1990 former territory of the FRG),Million euro,Patient transportation,"3,484",
2006,Germany (until 1990 former territory of the FRG),Million euro,Medical goods (non-specified by function),"48,925",
2006,Germany (until 1990 former territory of the FRG),Million euro,Pharmaceuticals and other medical non-durable goods,"36,325",
2006,Germany (until 1990 former territory of the FRG),Million euro,Prescribed medicines,"31,731",
2006,Germany (until 1990 former territory of the FRG),Million euro,Over-the-counter medicines,"4,591",
2006,Germany (until 1990 former territory of the FRG),Million euro,Other medical non-durable goods,3,
2006,Germany (until 1990 former territory of the FRG),Million euro,Therapeutic appliances and other medical durable goods,"12,600",
2006,Germany (until 1990 former territory of the FRG),Million euro,Preventive care,"8,051",
2006,Germany (until 1990 former territory of the FRG),Million euro,"Information, education and counseling programmes",708,
2006,Germany (until 1990 former territory of the FRG),Million euro,Immunisation programmes,966,
2006,Germany (until 1990 former territory of the FRG),Million euro,Early disease detection programmes,"1,153",
2006,Germany (until 1990 former territory of the FRG),Million euro,Healthy condition monitoring programmes,"3,338",
2006,Germany (until 1990 former territory of the FRG),Million euro,Epidemiological surveillance and risk and disease control programmes,"1,887",
2006,Germany (until 1990 former territory of the FRG),Million euro,Preparing for disaster and emergency response programmes,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Governance and health system and financing administration,"13,325",
2006,Germany (until 1990 former territory of the FRG),Million euro,Governance and health system administration,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Administration of health financing,"13,325",
2006,Germany (until 1990 former territory of the FRG),Million euro,Other health care services unknown,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Long-term care (social),"2,671",
2006,Germany (until 1990 former territory of the FRG),Million euro,Long-term care (HC.3 and HCR.1),"35,280",
2006,Estonia,Million euro,Current health care expenditure (CHE),:,
2006,Estonia,Million euro,Curative care and rehabilitative care,:,
2006,Estonia,Million euro,Curative care,:,
2006,Estonia,Million euro,Inpatient curative and rehabilitative care,:,
2006,Estonia,Million euro,Inpatient curative care,:,
2006,Estonia,Million euro,Day curative and rehabilitative care,:,
2006,Estonia,Million euro,Day curative care,:,
2006,Estonia,Million euro,Outpatient curative and rehabilitative care,:,
2006,Estonia,Million euro,Outpatient curative care,:,
2006,Estonia,Million euro,General outpatient curative care,:,
2006,Estonia,Million euro,Dental outpatient curative care,:,
2006,Estonia,Million euro,Specialised outpatient curative care,:,
2006,Estonia,Million euro,All other outpatient curative care n.e.c.,:,
2006,Estonia,Million euro,Home-based curative and rehabilitative care,:,
2006,Estonia,Million euro,Home-based curative care,:,
2006,Estonia,Million euro,Rehabilitative care,:,
2006,Estonia,Million euro,Inpatient rehabilitative care,:,
2006,Estonia,Million euro,Day rehabilitative care,:,
2006,Estonia,Million euro,Outpatient rehabilitative care,:,
2006,Estonia,Million euro,Home-based rehabilitative care,:,
2006,Estonia,Million euro,Long-term care (health),:,
2006,Estonia,Million euro,Inpatient long-term care (health),:,
2006,Estonia,Million euro,Day long-term care (health),:,
2006,Estonia,Million euro,Outpatient long-term care (health),:,
2006,Estonia,Million euro,Home-based long-term care (health),:,
2006,Estonia,Million euro,Ancillary services (non-specified by function),:,
2006,Estonia,Million euro,Laboratory services,:,
2006,Estonia,Million euro,Imaging services,:,
2006,Estonia,Million euro,Patient transportation,:,
2006,Estonia,Million euro,Medical goods (non-specified by function),:,
2006,Estonia,Million euro,Pharmaceuticals and other medical non-durable goods,:,
2006,Estonia,Million euro,Prescribed medicines,:,
2006,Estonia,Million euro,Over-the-counter medicines,:,
2006,Estonia,Million euro,Other medical non-durable goods,:,
2006,Estonia,Million euro,Therapeutic appliances and other medical durable goods,:,
2006,Estonia,Million euro,Preventive care,:,
2006,Estonia,Million euro,"Information, education and counseling programmes",:,
2006,Estonia,Million euro,Immunisation programmes,:,
2006,Estonia,Million euro,Early disease detection programmes,:,
2006,Estonia,Million euro,Healthy condition monitoring programmes,:,
2006,Estonia,Million euro,Epidemiological surveillance and risk and disease control programmes,:,
2006,Estonia,Million euro,Preparing for disaster and emergency response programmes,:,
2006,Estonia,Million euro,Governance and health system and financing administration,:,
2006,Estonia,Million euro,Governance and health system administration,:,
2006,Estonia,Million euro,Administration of health financing,:,
2006,Estonia,Million euro,Other health care services unknown,:,
2006,Estonia,Million euro,Long-term care (social),:,
2006,Estonia,Million euro,Long-term care (HC.3 and HCR.1),:,
2006,Ireland,Million euro,Current health care expenditure (CHE),:,
2006,Ireland,Million euro,Curative care and rehabilitative care,:,
2006,Ireland,Million euro,Curative care,:,
2006,Ireland,Million euro,Inpatient curative and rehabilitative care,:,
2006,Ireland,Million euro,Inpatient curative care,:,
2006,Ireland,Million euro,Day curative and rehabilitative care,:,
2006,Ireland,Million euro,Day curative care,:,
2006,Ireland,Million euro,Outpatient curative and rehabilitative care,:,
2006,Ireland,Million euro,Outpatient curative care,:,
2006,Ireland,Million euro,General outpatient curative care,:,
2006,Ireland,Million euro,Dental outpatient curative care,:,
2006,Ireland,Million euro,Specialised outpatient curative care,:,
2006,Ireland,Million euro,All other outpatient curative care n.e.c.,:,
2006,Ireland,Million euro,Home-based curative and rehabilitative care,:,
2006,Ireland,Million euro,Home-based curative care,:,
2006,Ireland,Million euro,Rehabilitative care,:,
2006,Ireland,Million euro,Inpatient rehabilitative care,:,
2006,Ireland,Million euro,Day rehabilitative care,:,
2006,Ireland,Million euro,Outpatient rehabilitative care,:,
2006,Ireland,Million euro,Home-based rehabilitative care,:,
2006,Ireland,Million euro,Long-term care (health),:,
2006,Ireland,Million euro,Inpatient long-term care (health),:,
2006,Ireland,Million euro,Day long-term care (health),:,
2006,Ireland,Million euro,Outpatient long-term care (health),:,
2006,Ireland,Million euro,Home-based long-term care (health),:,
2006,Ireland,Million euro,Ancillary services (non-specified by function),:,
2006,Ireland,Million euro,Laboratory services,:,
2006,Ireland,Million euro,Imaging services,:,
2006,Ireland,Million euro,Patient transportation,:,
2006,Ireland,Million euro,Medical goods (non-specified by function),:,
2006,Ireland,Million euro,Pharmaceuticals and other medical non-durable goods,:,
2006,Ireland,Million euro,Prescribed medicines,:,
2006,Ireland,Million euro,Over-the-counter medicines,:,
2006,Ireland,Million euro,Other medical non-durable goods,:,
2006,Ireland,Million euro,Therapeutic appliances and other medical durable goods,:,
2006,Ireland,Million euro,Preventive care,:,
2006,Ireland,Million euro,"Information, education and counseling programmes",:,
2006,Ireland,Million euro,Immunisation programmes,:,
2006,Ireland,Million euro,Early disease detection programmes,:,
2006,Ireland,Million euro,Healthy condition monitoring programmes,:,
2006,Ireland,Million euro,Epidemiological surveillance and risk and disease control programmes,:,
2006,Ireland,Million euro,Preparing for disaster and emergency response programmes,:,
2006,Ireland,Million euro,Governance and health system and financing administration,:,
2006,Ireland,Million euro,Governance and health system administration,:,
2006,Ireland,Million euro,Administration of health financing,:,
2006,Ireland,Million euro,Other health care services unknown,:,
2006,Ireland,Million euro,Long-term care (social),:,
2006,Ireland,Million euro,Long-term care (HC.3 and HCR.1),:,
2006,Greece,Million euro,Current health care expenditure (CHE),:,
2006,Greece,Million euro,Curative care and rehabilitative care,:,
2006,Greece,Million euro,Curative care,:,
2006,Greece,Million euro,Inpatient curative and rehabilitative care,:,
2006,Greece,Million euro,Inpatient curative care,:,
2006,Greece,Million euro,Day curative and rehabilitative care,:,
2006,Greece,Million euro,Day curative care,:,
2006,Greece,Million euro,Outpatient curative and rehabilitative care,:,
2006,Greece,Million euro,Outpatient curative care,:,
2006,Greece,Million euro,General outpatient curative care,:,
2006,Greece,Million euro,Dental outpatient curative care,:,
2006,Greece,Million euro,Specialised outpatient curative care,:,
2006,Greece,Million euro,All other outpatient curative care n.e.c.,:,
2006,Greece,Million euro,Home-based curative and rehabilitative care,:,
2006,Greece,Million euro,Home-based curative care,:,
2006,Greece,Million euro,Rehabilitative care,:,
2006,Greece,Million euro,Inpatient rehabilitative care,:,
2006,Greece,Million euro,Day rehabilitative care,:,
2006,Greece,Million euro,Outpatient rehabilitative care,:,
2006,Greece,Million euro,Home-based rehabilitative care,:,
2006,Greece,Million euro,Long-term care (health),:,
2006,Greece,Million euro,Inpatient long-term care (health),:,
2006,Greece,Million euro,Day long-term care (health),:,
2006,Greece,Million euro,Outpatient long-term care (health),:,
2006,Greece,Million euro,Home-based long-term care (health),:,
2006,Greece,Million euro,Ancillary services (non-specified by function),:,
2006,Greece,Million euro,Laboratory services,:,
2006,Greece,Million euro,Imaging services,:,
2006,Greece,Million euro,Patient transportation,:,
2006,Greece,Million euro,Medical goods (non-specified by function),:,
2006,Greece,Million euro,Pharmaceuticals and other medical non-durable goods,:,
2006,Greece,Million euro,Prescribed medicines,:,
2006,Greece,Million euro,Over-the-counter medicines,:,
2006,Greece,Million euro,Other medical non-durable goods,:,
2006,Greece,Million euro,Therapeutic appliances and other medical durable goods,:,
2006,Greece,Million euro,Preventive care,:,
2006,Greece,Million euro,"Information, education and counseling programmes",:,
2006,Greece,Million euro,Immunisation programmes,:,
2006,Greece,Million euro,Early disease detection programmes,:,
2006,Greece,Million euro,Healthy condition monitoring programmes,:,
2006,Greece,Million euro,Epidemiological surveillance and risk and disease control programmes,:,
2006,Greece,Million euro,Preparing for disaster and emergency response programmes,:,
2006,Greece,Million euro,Governance and health system and financing administration,:,
2006,Greece,Million euro,Governance and health system administration,:,
2006,Greece,Million euro,Administration of health financing,:,
2006,Greece,Million euro,Other health care services unknown,:,
2006,Greece,Million euro,Long-term care (social),:,
2006,Greece,Million euro,Long-term care (HC.3 and HCR.1),:,
2006,Spain,Million euro,Current health care expenditure (CHE),"78,170.29",
2006,Spain,Million euro,Curative care and rehabilitative care,"45,245.12",
2006,Spain,Million euro,Curative care,"45,245.12",
2006,Spain,Million euro,Inpatient curative and rehabilitative care,"17,649.66",
2006,Spain,Million euro,Inpatient curative care,"17,649.66",
2006,Spain,Million euro,Day curative and rehabilitative care,"1,548.12",
2006,Spain,Million euro,Day curative care,"1,548.12",
2006,Spain,Million euro,Outpatient curative and rehabilitative care,"25,394.02",
2006,Spain,Million euro,Outpatient curative care,"25,394.02",
2006,Spain,Million euro,General outpatient curative care,"7,785.82",
2006,Spain,Million euro,Dental outpatient curative care,"5,210.79",
2006,Spain,Million euro,Specialised outpatient curative care,"11,636.71",
2006,Spain,Million euro,All other outpatient curative care n.e.c.,760.69,
2006,Spain,Million euro,Home-based curative and rehabilitative care,653.31,
2006,Spain,Million euro,Home-based curative care,653.31,
2006,Spain,Million euro,Rehabilitative care,:,
2006,Spain,Million euro,Inpatient rehabilitative care,:,
2006,Spain,Million euro,Day rehabilitative care,:,
2006,Spain,Million euro,Outpatient rehabilitative care,:,
2006,Spain,Million euro,Home-based rehabilitative care,:,
2006,Spain,Million euro,Long-term care (health),"6,503.54",
2006,Spain,Million euro,Inpatient long-term care (health),"4,497.50",
2006,Spain,Million euro,Day long-term care (health),632.57,
2006,Spain,Million euro,Outpatient long-term care (health),:,
2006,Spain,Million euro,Home-based long-term care (health),"1,373.47",
2006,Spain,Million euro,Ancillary services (non-specified by function),"3,767.19",
2006,Spain,Million euro,Laboratory services,"1,511.73",
2006,Spain,Million euro,Imaging services,"1,398.34",
2006,Spain,Million euro,Patient transportation,857.12,
2006,Spain,Million euro,Medical goods (non-specified by function),"18,050.08",
2006,Spain,Million euro,Pharmaceuticals and other medical non-durable goods,"15,349",
2006,Spain,Million euro,Prescribed medicines,"11,697.22",
2006,Spain,Million euro,Over-the-counter medicines,"2,855.59",
2006,Spain,Million euro,Other medical non-durable goods,796.19,
2006,Spain,Million euro,Therapeutic appliances and other medical durable goods,"2,701.08",
2006,Spain,Million euro,Preventive care,"1,956.63",
2006,Spain,Million euro,"Information, education and counseling programmes",:,
2006,Spain,Million euro,Immunisation programmes,:,
2006,Spain,Million euro,Early disease detection programmes,:,
2006,Spain,Million euro,Healthy condition monitoring programmes,:,
2006,Spain,Million euro,Epidemiological surveillance and risk and disease control programmes,:,
2006,Spain,Million euro,Preparing for disaster and emergency response programmes,:,
2006,Spain,Million euro,Governance and health system and financing administration,"2,647.73",
2006,Spain,Million euro,Governance and health system administration,978.15,
2006,Spain,Million euro,Administration of health financing,"1,669.58",
2006,Spain,Million euro,Other health care services unknown,:,
2006,Spain,Million euro,Long-term care (social),664.23,
2006,Spain,Million euro,Long-term care (HC.3 and HCR.1),"7,167.77",
2006,France,Million euro,Current health care expenditure (CHE),"186,352.13",
2006,France,Million euro,Curative care and rehabilitative care,"102,143.46",
2006,France,Million euro,Curative care,0,
2006,France,Million euro,Inpatient curative and rehabilitative care,"57,477.23",
2006,France,Million euro,Inpatient curative care,0,
2006,France,Million euro,Day curative and rehabilitative care,"7,268.95",
2006,France,Million euro,Day curative care,0,
2006,France,Million euro,Outpatient curative and rehabilitative care,"31,489.58",
2006,France,Million euro,Outpatient curative care,0,
2006,France,Million euro,General outpatient curative care,0,
2006,France,Million euro,Dental outpatient curative care,0,
2006,France,Million euro,Specialised outpatient curative care,0,
2006,France,Million euro,All other outpatient curative care n.e.c.,0,
2006,France,Million euro,Home-based curative and rehabilitative care,"5,907.70",
2006,France,Million euro,Home-based curative care,0,
2006,France,Million euro,Rehabilitative care,0,
2006,France,Million euro,Inpatient rehabilitative care,:,
2006,France,Million euro,Day rehabilitative care,:,
2006,France,Million euro,Outpatient rehabilitative care,0,
2006,France,Million euro,Home-based rehabilitative care,0,
2006,France,Million euro,Long-term care (health),"17,789.09",
2006,France,Million euro,Inpatient long-term care (health),"12,406.94",
2006,France,Million euro,Day long-term care (health),0,
2006,France,Million euro,Outpatient long-term care (health),0,
2006,France,Million euro,Home-based long-term care (health),"5,382.16",
2006,France,Million euro,Ancillary services (non-specified by function),"10,498.79",
2006,France,Million euro,Laboratory services,"4,306.68",
2006,France,Million euro,Imaging services,"3,077.86",
2006,France,Million euro,Patient transportation,"3,114.26",
2006,France,Million euro,Medical goods (non-specified by function),"40,646.68",
2006,France,Million euro,Pharmaceuticals and other medical non-durable goods,"32,302.97",
2006,France,Million euro,Prescribed medicines,"27,880.01",
2006,France,Million euro,Over-the-counter medicines,"3,218.86",
