TIME,GEO,UNIT,ICHA11_HP,Value,Flag and Footnotes
2006,Czech Republic,Million euro,Hospitals,:,
2006,Czech Republic,Million euro,General hospitals,:,
2006,Czech Republic,Million euro,Mental health hospitals,:,
2006,Czech Republic,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Czech Republic,Million euro,Residential long-term care facilities,:,
2006,Czech Republic,Million euro,Long-term nursing care facilities,:,
2006,Czech Republic,Million euro,Mental health and substance abuse facilities,:,
2006,Czech Republic,Million euro,Other residential long-term care facilities,:,
2006,Czech Republic,Million euro,Providers of ambulatory health care,:,
2006,Czech Republic,Million euro,Medical practices,:,
2006,Czech Republic,Million euro,Dental practice,:,
2006,Czech Republic,Million euro,Other health care practitioners,:,
2006,Czech Republic,Million euro,Ambulatory health care centres,:,
2006,Czech Republic,Million euro,Providers of home health care services,:,
2006,Czech Republic,Million euro,Providers of ancillary services,:,
2006,Czech Republic,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Czech Republic,Million euro,Medical and diagnostic laboratories,:,
2006,Czech Republic,Million euro,Other providers of ancillary services,:,
2006,Czech Republic,Million euro,Retailers and other providers of medical goods,:,
2006,Czech Republic,Million euro,Pharmacies,:,
2006,Czech Republic,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Czech Republic,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Czech Republic,Million euro,Providers of preventive care,:,
2006,Czech Republic,Million euro,Providers of health care system administration and financing,:,
2006,Czech Republic,Million euro,Government health administration agencies,:,
2006,Czech Republic,Million euro,Social health insurance agencies,:,
2006,Czech Republic,Million euro,Private health insurance administration agencies,:,
2006,Czech Republic,Million euro,Other administration agencies,:,
2006,Czech Republic,Million euro,Rest of economy,:,
2006,Czech Republic,Million euro,Households as providers of home health care,:,
2006,Czech Republic,Million euro,All other industries as secondary providers of health care,:,
2006,Czech Republic,Million euro,Other industries n.e.c.,:,
2006,Czech Republic,Million euro,Rest of the world,:,
2006,Czech Republic,Million euro,Providers unknown,:,
2006,Denmark,Million euro,All providers of health care,:,
2006,Denmark,Million euro,Hospitals,:,
2006,Denmark,Million euro,General hospitals,:,
2006,Denmark,Million euro,Mental health hospitals,:,
2006,Denmark,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Denmark,Million euro,Residential long-term care facilities,:,
2006,Denmark,Million euro,Long-term nursing care facilities,:,
2006,Denmark,Million euro,Mental health and substance abuse facilities,:,
2006,Denmark,Million euro,Other residential long-term care facilities,:,
2006,Denmark,Million euro,Providers of ambulatory health care,:,
2006,Denmark,Million euro,Medical practices,:,
2006,Denmark,Million euro,Dental practice,:,
2006,Denmark,Million euro,Other health care practitioners,:,
2006,Denmark,Million euro,Ambulatory health care centres,:,
2006,Denmark,Million euro,Providers of home health care services,:,
2006,Denmark,Million euro,Providers of ancillary services,:,
2006,Denmark,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Denmark,Million euro,Medical and diagnostic laboratories,:,
2006,Denmark,Million euro,Other providers of ancillary services,:,
2006,Denmark,Million euro,Retailers and other providers of medical goods,:,
2006,Denmark,Million euro,Pharmacies,:,
2006,Denmark,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Denmark,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Denmark,Million euro,Providers of preventive care,:,
2006,Denmark,Million euro,Providers of health care system administration and financing,:,
2006,Denmark,Million euro,Government health administration agencies,:,
2006,Denmark,Million euro,Social health insurance agencies,:,
2006,Denmark,Million euro,Private health insurance administration agencies,:,
2006,Denmark,Million euro,Other administration agencies,:,
2006,Denmark,Million euro,Rest of economy,:,
2006,Denmark,Million euro,Households as providers of home health care,:,
2006,Denmark,Million euro,All other industries as secondary providers of health care,:,
2006,Denmark,Million euro,Other industries n.e.c.,:,
2006,Denmark,Million euro,Rest of the world,:,
2006,Denmark,Million euro,Providers unknown,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,All providers of health care,"241,647",
2006,Germany (until 1990 former territory of the FRG),Million euro,Hospitals,"71,296",
2006,Germany (until 1990 former territory of the FRG),Million euro,General hospitals,"63,868",
2006,Germany (until 1990 former territory of the FRG),Million euro,Mental health hospitals,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Specialised hospitals (other than mental health hospitals),"7,428",
2006,Germany (until 1990 former territory of the FRG),Million euro,Residential long-term care facilities,"21,799",
2006,Germany (until 1990 former territory of the FRG),Million euro,Long-term nursing care facilities,"21,799",
2006,Germany (until 1990 former territory of the FRG),Million euro,Mental health and substance abuse facilities,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Other residential long-term care facilities,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Providers of ambulatory health care,"72,716",
2006,Germany (until 1990 former territory of the FRG),Million euro,Medical practices,"35,685",
2006,Germany (until 1990 former territory of the FRG),Million euro,Dental practice,"19,712",
2006,Germany (until 1990 former territory of the FRG),Million euro,Other health care practitioners,"7,616",
2006,Germany (until 1990 former territory of the FRG),Million euro,Ambulatory health care centres,"2,144",
2006,Germany (until 1990 former territory of the FRG),Million euro,Providers of home health care services,"7,558",
2006,Germany (until 1990 former territory of the FRG),Million euro,Providers of ancillary services,"2,628",
2006,Germany (until 1990 former territory of the FRG),Million euro,Providers of patient transportation and emergency rescue,"2,597",
2006,Germany (until 1990 former territory of the FRG),Million euro,Medical and diagnostic laboratories,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Other providers of ancillary services,32,
2006,Germany (until 1990 former territory of the FRG),Million euro,Retailers and other providers of medical goods,"48,482",
2006,Germany (until 1990 former territory of the FRG),Million euro,Pharmacies,"35,607",
2006,Germany (until 1990 former territory of the FRG),Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,"10,427",
2006,Germany (until 1990 former territory of the FRG),Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,"2,448",
2006,Germany (until 1990 former territory of the FRG),Million euro,Providers of preventive care,"1,883",
2006,Germany (until 1990 former territory of the FRG),Million euro,Providers of health care system administration and financing,"14,528",
2006,Germany (until 1990 former territory of the FRG),Million euro,Government health administration agencies,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Social health insurance agencies,"10,951",
2006,Germany (until 1990 former territory of the FRG),Million euro,Private health insurance administration agencies,"3,577",
2006,Germany (until 1990 former territory of the FRG),Million euro,Other administration agencies,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Rest of economy,"7,304",
2006,Germany (until 1990 former territory of the FRG),Million euro,Households as providers of home health care,"5,491",
2006,Germany (until 1990 former territory of the FRG),Million euro,All other industries as secondary providers of health care,"1,813",
2006,Germany (until 1990 former territory of the FRG),Million euro,Other industries n.e.c.,:,
2006,Germany (until 1990 former territory of the FRG),Million euro,Rest of the world,"1,011",
2006,Germany (until 1990 former territory of the FRG),Million euro,Providers unknown,:,
2006,Estonia,Million euro,All providers of health care,:,
2006,Estonia,Million euro,Hospitals,:,
2006,Estonia,Million euro,General hospitals,:,
2006,Estonia,Million euro,Mental health hospitals,:,
2006,Estonia,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Estonia,Million euro,Residential long-term care facilities,:,
2006,Estonia,Million euro,Long-term nursing care facilities,:,
2006,Estonia,Million euro,Mental health and substance abuse facilities,:,
2006,Estonia,Million euro,Other residential long-term care facilities,:,
2006,Estonia,Million euro,Providers of ambulatory health care,:,
2006,Estonia,Million euro,Medical practices,:,
2006,Estonia,Million euro,Dental practice,:,
2006,Estonia,Million euro,Other health care practitioners,:,
2006,Estonia,Million euro,Ambulatory health care centres,:,
2006,Estonia,Million euro,Providers of home health care services,:,
2006,Estonia,Million euro,Providers of ancillary services,:,
2006,Estonia,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Estonia,Million euro,Medical and diagnostic laboratories,:,
2006,Estonia,Million euro,Other providers of ancillary services,:,
2006,Estonia,Million euro,Retailers and other providers of medical goods,:,
2006,Estonia,Million euro,Pharmacies,:,
2006,Estonia,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Estonia,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Estonia,Million euro,Providers of preventive care,:,
2006,Estonia,Million euro,Providers of health care system administration and financing,:,
2006,Estonia,Million euro,Government health administration agencies,:,
2006,Estonia,Million euro,Social health insurance agencies,:,
2006,Estonia,Million euro,Private health insurance administration agencies,:,
2006,Estonia,Million euro,Other administration agencies,:,
2006,Estonia,Million euro,Rest of economy,:,
2006,Estonia,Million euro,Households as providers of home health care,:,
2006,Estonia,Million euro,All other industries as secondary providers of health care,:,
2006,Estonia,Million euro,Other industries n.e.c.,:,
2006,Estonia,Million euro,Rest of the world,:,
2006,Estonia,Million euro,Providers unknown,:,
2006,Ireland,Million euro,All providers of health care,:,
2006,Ireland,Million euro,Hospitals,:,
2006,Ireland,Million euro,General hospitals,:,
2006,Ireland,Million euro,Mental health hospitals,:,
2006,Ireland,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Ireland,Million euro,Residential long-term care facilities,:,
2006,Ireland,Million euro,Long-term nursing care facilities,:,
2006,Ireland,Million euro,Mental health and substance abuse facilities,:,
2006,Ireland,Million euro,Other residential long-term care facilities,:,
2006,Ireland,Million euro,Providers of ambulatory health care,:,
2006,Ireland,Million euro,Medical practices,:,
2006,Ireland,Million euro,Dental practice,:,
2006,Ireland,Million euro,Other health care practitioners,:,
2006,Ireland,Million euro,Ambulatory health care centres,:,
2006,Ireland,Million euro,Providers of home health care services,:,
2006,Ireland,Million euro,Providers of ancillary services,:,
2006,Ireland,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Ireland,Million euro,Medical and diagnostic laboratories,:,
2006,Ireland,Million euro,Other providers of ancillary services,:,
2006,Ireland,Million euro,Retailers and other providers of medical goods,:,
2006,Ireland,Million euro,Pharmacies,:,
2006,Ireland,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Ireland,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Ireland,Million euro,Providers of preventive care,:,
2006,Ireland,Million euro,Providers of health care system administration and financing,:,
2006,Ireland,Million euro,Government health administration agencies,:,
2006,Ireland,Million euro,Social health insurance agencies,:,
2006,Ireland,Million euro,Private health insurance administration agencies,:,
2006,Ireland,Million euro,Other administration agencies,:,
2006,Ireland,Million euro,Rest of economy,:,
2006,Ireland,Million euro,Households as providers of home health care,:,
2006,Ireland,Million euro,All other industries as secondary providers of health care,:,
2006,Ireland,Million euro,Other industries n.e.c.,:,
2006,Ireland,Million euro,Rest of the world,:,
2006,Ireland,Million euro,Providers unknown,:,
2006,Greece,Million euro,All providers of health care,:,
2006,Greece,Million euro,Hospitals,:,
2006,Greece,Million euro,General hospitals,:,
2006,Greece,Million euro,Mental health hospitals,:,
2006,Greece,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Greece,Million euro,Residential long-term care facilities,:,
2006,Greece,Million euro,Long-term nursing care facilities,:,
2006,Greece,Million euro,Mental health and substance abuse facilities,:,
2006,Greece,Million euro,Other residential long-term care facilities,:,
2006,Greece,Million euro,Providers of ambulatory health care,:,
2006,Greece,Million euro,Medical practices,:,
2006,Greece,Million euro,Dental practice,:,
2006,Greece,Million euro,Other health care practitioners,:,
2006,Greece,Million euro,Ambulatory health care centres,:,
2006,Greece,Million euro,Providers of home health care services,:,
2006,Greece,Million euro,Providers of ancillary services,:,
2006,Greece,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Greece,Million euro,Medical and diagnostic laboratories,:,
2006,Greece,Million euro,Other providers of ancillary services,:,
2006,Greece,Million euro,Retailers and other providers of medical goods,:,
2006,Greece,Million euro,Pharmacies,:,
2006,Greece,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Greece,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Greece,Million euro,Providers of preventive care,:,
2006,Greece,Million euro,Providers of health care system administration and financing,:,
2006,Greece,Million euro,Government health administration agencies,:,
2006,Greece,Million euro,Social health insurance agencies,:,
2006,Greece,Million euro,Private health insurance administration agencies,:,
2006,Greece,Million euro,Other administration agencies,:,
2006,Greece,Million euro,Rest of economy,:,
2006,Greece,Million euro,Households as providers of home health care,:,
2006,Greece,Million euro,All other industries as secondary providers of health care,:,
2006,Greece,Million euro,Other industries n.e.c.,:,
2006,Greece,Million euro,Rest of the world,:,
2006,Greece,Million euro,Providers unknown,:,
2006,Spain,Million euro,All providers of health care,"78,170.29",
2006,Spain,Million euro,Hospitals,"30,543.90",
2006,Spain,Million euro,General hospitals,"28,120.66",
2006,Spain,Million euro,Mental health hospitals,620.48,
2006,Spain,Million euro,Specialised hospitals (other than mental health hospitals),"1,802.76",
2006,Spain,Million euro,Residential long-term care facilities,"3,844.02",
2006,Spain,Million euro,Long-term nursing care facilities,"3,807.78",
2006,Spain,Million euro,Mental health and substance abuse facilities,36.24,
2006,Spain,Million euro,Other residential long-term care facilities,:,
2006,Spain,Million euro,Providers of ambulatory health care,"20,075.19",
2006,Spain,Million euro,Medical practices,"6,414.44",
2006,Spain,Million euro,Dental practice,"5,215.89",
2006,Spain,Million euro,Other health care practitioners,741.18,
2006,Spain,Million euro,Ambulatory health care centres,"6,859.15",
2006,Spain,Million euro,Providers of home health care services,844.53,
2006,Spain,Million euro,Providers of ancillary services,"1,325.10",
2006,Spain,Million euro,Providers of patient transportation and emergency rescue,710.37,
2006,Spain,Million euro,Medical and diagnostic laboratories,614.73,
2006,Spain,Million euro,Other providers of ancillary services,:,
2006,Spain,Million euro,Retailers and other providers of medical goods,"18,049.65",
2006,Spain,Million euro,Pharmacies,"15,348.57",
2006,Spain,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,"2,701.08",
2006,Spain,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Spain,Million euro,Providers of preventive care,784.99,
2006,Spain,Million euro,Providers of health care system administration and financing,"2,654.47",
2006,Spain,Million euro,Government health administration agencies,975.89,
2006,Spain,Million euro,Social health insurance agencies,200.59,
2006,Spain,Million euro,Private health insurance administration agencies,"1,478",
2006,Spain,Million euro,Other administration agencies,:,
2006,Spain,Million euro,Rest of economy,887.78,
2006,Spain,Million euro,Households as providers of home health care,610.33,
2006,Spain,Million euro,All other industries as secondary providers of health care,277.45,
2006,Spain,Million euro,Other industries n.e.c.,:,
2006,Spain,Million euro,Rest of the world,5.19,
2006,Spain,Million euro,Providers unknown,:,
2006,France,Million euro,All providers of health care,"186,352.13",
2006,France,Million euro,Hospitals,"73,365.38",
2006,France,Million euro,General hospitals,"60,874",
2006,France,Million euro,Mental health hospitals,"12,180.16",
2006,France,Million euro,Specialised hospitals (other than mental health hospitals),311.21,
2006,France,Million euro,Residential long-term care facilities,"10,016.83",
2006,France,Million euro,Long-term nursing care facilities,"10,016.83",
2006,France,Million euro,Mental health and substance abuse facilities,0,
2006,France,Million euro,Other residential long-term care facilities,0,
2006,France,Million euro,Providers of ambulatory health care,"41,168.75",
2006,France,Million euro,Medical practices,"19,130.92",
2006,France,Million euro,Dental practice,"9,343.83",
2006,France,Million euro,Other health care practitioners,"8,676.98",
2006,France,Million euro,Ambulatory health care centres,"1,372.58",
2006,France,Million euro,Providers of home health care services,"2,644.45",
2006,France,Million euro,Providers of ancillary services,"6,008.92",
2006,France,Million euro,Providers of patient transportation and emergency rescue,"2,132.55",
2006,France,Million euro,Medical and diagnostic laboratories,"3,876.37",
2006,France,Million euro,Other providers of ancillary services,0,
2006,France,Million euro,Retailers and other providers of medical goods,"40,529.60",
2006,France,Million euro,Pharmacies,"34,413.47",
2006,France,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,"6,116.14",
2006,France,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,0,
2006,France,Million euro,Providers of preventive care,"2,585.28",
2006,France,Million euro,Providers of health care system administration and financing,"11,305.34",
2006,France,Million euro,Government health administration agencies,652.02,
2006,France,Million euro,Social health insurance agencies,"5,899.38",
2006,France,Million euro,Private health insurance administration agencies,"4,728.78",
2006,France,Million euro,Other administration agencies,25.17,
2006,France,Million euro,Rest of economy,"1,372.02",
2006,France,Million euro,Households as providers of home health care,0,
2006,France,Million euro,All other industries as secondary providers of health care,"1,372.02",
2006,France,Million euro,Other industries n.e.c.,0,
2006,France,Million euro,Rest of the world,0,
2006,France,Million euro,Providers unknown,:,
2006,Croatia,Million euro,All providers of health care,:,
2006,Croatia,Million euro,Hospitals,:,
2006,Croatia,Million euro,General hospitals,:,
2006,Croatia,Million euro,Mental health hospitals,:,
2006,Croatia,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Croatia,Million euro,Residential long-term care facilities,:,
2006,Croatia,Million euro,Long-term nursing care facilities,:,
2006,Croatia,Million euro,Mental health and substance abuse facilities,:,
2006,Croatia,Million euro,Other residential long-term care facilities,:,
2006,Croatia,Million euro,Providers of ambulatory health care,:,
2006,Croatia,Million euro,Medical practices,:,
2006,Croatia,Million euro,Dental practice,:,
2006,Croatia,Million euro,Other health care practitioners,:,
2006,Croatia,Million euro,Ambulatory health care centres,:,
2006,Croatia,Million euro,Providers of home health care services,:,
2006,Croatia,Million euro,Providers of ancillary services,:,
2006,Croatia,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Croatia,Million euro,Medical and diagnostic laboratories,:,
2006,Croatia,Million euro,Other providers of ancillary services,:,
2006,Croatia,Million euro,Retailers and other providers of medical goods,:,
2006,Croatia,Million euro,Pharmacies,:,
2006,Croatia,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Croatia,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Croatia,Million euro,Providers of preventive care,:,
2006,Croatia,Million euro,Providers of health care system administration and financing,:,
2006,Croatia,Million euro,Government health administration agencies,:,
2006,Croatia,Million euro,Social health insurance agencies,:,
2006,Croatia,Million euro,Private health insurance administration agencies,:,
2006,Croatia,Million euro,Other administration agencies,:,
2006,Croatia,Million euro,Rest of economy,:,
2006,Croatia,Million euro,Households as providers of home health care,:,
2006,Croatia,Million euro,All other industries as secondary providers of health care,:,
2006,Croatia,Million euro,Other industries n.e.c.,:,
2006,Croatia,Million euro,Rest of the world,:,
2006,Croatia,Million euro,Providers unknown,:,
2006,Italy,Million euro,All providers of health care,:,
2006,Italy,Million euro,Hospitals,:,
2006,Italy,Million euro,General hospitals,:,
2006,Italy,Million euro,Mental health hospitals,:,
2006,Italy,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Italy,Million euro,Residential long-term care facilities,:,
2006,Italy,Million euro,Long-term nursing care facilities,:,
2006,Italy,Million euro,Mental health and substance abuse facilities,:,
2006,Italy,Million euro,Other residential long-term care facilities,:,
2006,Italy,Million euro,Providers of ambulatory health care,:,
2006,Italy,Million euro,Medical practices,:,
2006,Italy,Million euro,Dental practice,:,
2006,Italy,Million euro,Other health care practitioners,:,
2006,Italy,Million euro,Ambulatory health care centres,:,
2006,Italy,Million euro,Providers of home health care services,:,
2006,Italy,Million euro,Providers of ancillary services,:,
2006,Italy,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Italy,Million euro,Medical and diagnostic laboratories,:,
2006,Italy,Million euro,Other providers of ancillary services,:,
2006,Italy,Million euro,Retailers and other providers of medical goods,:,
2006,Italy,Million euro,Pharmacies,:,
2006,Italy,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Italy,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Italy,Million euro,Providers of preventive care,:,
2006,Italy,Million euro,Providers of health care system administration and financing,:,
2006,Italy,Million euro,Government health administration agencies,:,
2006,Italy,Million euro,Social health insurance agencies,:,
2006,Italy,Million euro,Private health insurance administration agencies,:,
2006,Italy,Million euro,Other administration agencies,:,
2006,Italy,Million euro,Rest of economy,:,
2006,Italy,Million euro,Households as providers of home health care,:,
2006,Italy,Million euro,All other industries as secondary providers of health care,:,
2006,Italy,Million euro,Other industries n.e.c.,:,
2006,Italy,Million euro,Rest of the world,:,
2006,Italy,Million euro,Providers unknown,:,
2006,Cyprus,Million euro,All providers of health care,:,
2006,Cyprus,Million euro,Hospitals,:,
2006,Cyprus,Million euro,General hospitals,:,
2006,Cyprus,Million euro,Mental health hospitals,:,
2006,Cyprus,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Cyprus,Million euro,Residential long-term care facilities,:,
2006,Cyprus,Million euro,Long-term nursing care facilities,:,
2006,Cyprus,Million euro,Mental health and substance abuse facilities,:,
2006,Cyprus,Million euro,Other residential long-term care facilities,:,
2006,Cyprus,Million euro,Providers of ambulatory health care,:,
2006,Cyprus,Million euro,Medical practices,:,
2006,Cyprus,Million euro,Dental practice,:,
2006,Cyprus,Million euro,Other health care practitioners,:,
2006,Cyprus,Million euro,Ambulatory health care centres,:,
2006,Cyprus,Million euro,Providers of home health care services,:,
2006,Cyprus,Million euro,Providers of ancillary services,:,
2006,Cyprus,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Cyprus,Million euro,Medical and diagnostic laboratories,:,
2006,Cyprus,Million euro,Other providers of ancillary services,:,
2006,Cyprus,Million euro,Retailers and other providers of medical goods,:,
2006,Cyprus,Million euro,Pharmacies,:,
2006,Cyprus,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Cyprus,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Cyprus,Million euro,Providers of preventive care,:,
2006,Cyprus,Million euro,Providers of health care system administration and financing,:,
2006,Cyprus,Million euro,Government health administration agencies,:,
2006,Cyprus,Million euro,Social health insurance agencies,:,
2006,Cyprus,Million euro,Private health insurance administration agencies,:,
2006,Cyprus,Million euro,Other administration agencies,:,
2006,Cyprus,Million euro,Rest of economy,:,
2006,Cyprus,Million euro,Households as providers of home health care,:,
2006,Cyprus,Million euro,All other industries as secondary providers of health care,:,
2006,Cyprus,Million euro,Other industries n.e.c.,:,
2006,Cyprus,Million euro,Rest of the world,:,
2006,Cyprus,Million euro,Providers unknown,:,
2006,Latvia,Million euro,All providers of health care,:,
2006,Latvia,Million euro,Hospitals,:,
2006,Latvia,Million euro,General hospitals,:,
2006,Latvia,Million euro,Mental health hospitals,:,
2006,Latvia,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Latvia,Million euro,Residential long-term care facilities,:,
2006,Latvia,Million euro,Long-term nursing care facilities,:,
2006,Latvia,Million euro,Mental health and substance abuse facilities,:,
2006,Latvia,Million euro,Other residential long-term care facilities,:,
2006,Latvia,Million euro,Providers of ambulatory health care,:,
2006,Latvia,Million euro,Medical practices,:,
2006,Latvia,Million euro,Dental practice,:,
2006,Latvia,Million euro,Other health care practitioners,:,
2006,Latvia,Million euro,Ambulatory health care centres,:,
2006,Latvia,Million euro,Providers of home health care services,:,
2006,Latvia,Million euro,Providers of ancillary services,:,
2006,Latvia,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Latvia,Million euro,Medical and diagnostic laboratories,:,
2006,Latvia,Million euro,Other providers of ancillary services,:,
2006,Latvia,Million euro,Retailers and other providers of medical goods,:,
2006,Latvia,Million euro,Pharmacies,:,
2006,Latvia,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Latvia,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
